開発元,ツール名 / モデル名,有料プラン,無料プランと範囲（制限）,特異性,使い方,始め方,公開時期,公式URL / 公式解説WebサイトURL,用語解説
Anthropic,Claude 4.5 Sonnet,Pro月額$20 / API従量課金,1日約30〜50回（サーバー負荷で変動）,Artifacts機能によるUIの即時プレビューと、高度なコーディング能力のバランスが最高峰。,開発中のアプリのReactコードを書かせ、その場で画面デザインをプレビュー・修正する。,claude.aiにアクセスし、Googleアカウント等で登録して開始。,2025年10月,https://claude.ai （解説：https://www.anthropic.com/news）,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,Claude Opus 4.8,"API専売（入力15/1M,出力75/1Mﾄｰｸﾝ）",無料利用不可,Anthropicの最上位モデルの最新マイナーアップデート。論理破綻が極めて少ない。,経済学の難解な論文を数十本読み込ませ、文脈の矛盾点をピンポイントで指摘させる。,Anthropic ConsoleでAPIキーを発行し、Python等から呼び出す。,2026年5月,https://console.anthropic.com （解説：https://www.anthropic.com/claude）,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,Claude Opus 4.7,"API専売（入力15/1M,出力75/1Mﾄｰｸﾝ）",無料利用不可,4.8の前バージョン。多言語処理（特にスペイン語の中南米方言の差異）の認識精度が向上。,地域ごとのスペイン語のニュアンスの違いを考慮したマーケティングテキストの生成。,Anthropic Console経由でバージョンを指定してAPI呼び出し。,2026年3月,https://console.anthropic.com,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,Claude Opus 4.6,"API専売（入力15/1M,出力75/1Mﾄｰｸﾝ）",無料利用不可,4.7の前バージョン。長文脈（200Kトークン）の処理速度が最適化されたモデル。,スプレッドシートの膨大なアンケート結果を一度に投げ込み、定性的な傾向を分析。,APIのリクエスト時に claude-4-6-opus を指定して実行。,2026年1月,https://console.anthropic.com,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,Claude Opus 4.5,"API専売（入力15/1M,出力75/1Mﾄｰｸﾝ）",無料利用不可,Opus第4世代の中核モデル。人間らしい自然な対話と高度な因果推論を確立。,複雑な交渉メールのドラフト作成や、戦略コンサルティングの壁打ち相手。,Anthropic Console経由でAPIキーを利用。,2025年11月,https://console.anthropic.com,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,Claude Opus 4.1,API専売（旧価格帯設定）,無料利用不可,初期の第4世代Opusの軽量版。現在は主に旧システムの互換性維持のために稼働。,既存のシステム連携で、APIバージョンを固定して安定稼働させたい場合に使用。,API指定で旧バージョンモデルをコールする。,2025年8月,https://console.anthropic.com,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,Claude Opus 4,API専売（旧価格帯設定）,無料利用不可,Opus第4世代の初代。Claude 3から推論能力をベースアップさせた画期的モデル。,大規模なテキスト解析のベースライン検証テスト用としての利用。,APIダッシュボードから初期モデルを指定。,2025年6月,https://console.anthropic.com,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,Claude Sonnet 4.6,Pro月額20/API（入力3/1Mﾄｰｸﾝ）,1日約30回（無料枠のデフォルト）,4.5 Sonnetから処理速度を約20%向上させた高速コーディング＆対話モデル。,スペイン語の文法解説や、日常的なプログラミングのバグ取りを瞬時に行わせる。,claude.aiでチャットを入力するだけで自動適用。,2026年2月,https://claude.ai ,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,Claude Sonnet 4.5,Pro月額20/API（入力3/1Mﾄｰｸﾝ）,無料枠内で選択可能,4世代目の標準モデル。事実確認（ファクトチェック）の精度が特に高い。,ニュース記事の要約や、特定の事実関係に基づいた正確なレポートの作成。,claude.aiにてモデル選択ドロップダウンから指定。,2025年11月,https://claude.ai,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,Claude 4 Sonnet,Pro月額20/API（入力3/1Mﾄｰｸﾝ）,無料枠内で選択可能,第4世代Sonnetの初代。コストと精度の黄金比を確立した汎用モデル。,長文の翻訳、ブログ記事の構成案作成、日常的なブレインストーミング。,claude.aiのアカウント作成後、すぐに利用可能。,2025年7月,https://claude.ai,
,Claude 4.1,企業向けエンタープライズプラン,無料利用不可,社内データ学習に特化した法人向けチューニングモデル。,企業の機密データを学習させ、社内規定に沿ったカスタマーサポートAIを構築。,Anthropicの営業窓口から法人契約を行う。,2025年9月,https://www.anthropic.com/claude/enterprise,
,Claude 3.7 Sonnet [R],Pro月額$20 / API従量課金,無料枠内で回数制限付きで提供,[R]はReasoning（推論）特化型。数学的証明やコードのアルゴリズム構築に強い。,計量経済学の複雑な回帰分析のモデル選定理由を数学的に証明させる。,claude.aiで推論モード（Reasoning）をオンにして質問。,2025年2月,https://claude.ai,"API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
従量課金…使用料によって金額が変化します。"
,Claude 3 Opus,"API専売（入力15/1M,出力75/1Mﾄｰｸﾝ）",無料利用不可,2024年の世界最高峰モデル。現在はコストパフォーマンス的に旧型扱い。,過去の研究データとの比較や、旧システムからの移行前のリファレンステスト。,APIで claude-3-opus-20240229 を指定。,2024年3月,https://console.anthropic.com,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
Google/DeepMind,Gemini 3.1 Pro,Advanced月額$20 (Google One),1日約50回まで無料,Google Workspace（ドキュメント、Gmail等）との完全な統合と、超長文脈処理が強み。,Gmailの過去1年分のやり取りを分析し、特定のプロジェクトの進捗要約をDocsに出力。,gemini.google.comにアクセスし、Googleアカウントでログイン。,2026年4月,https://gemini.google.com （解説：https://deepmind.google/technologies/gemini/）,
,Gemini 3 Pro,Advanced月額$20 / API従量課金,無料枠のデフォルトとして稼働,第3世代の標準モデル。検索エンジンと直結したリアルタイムの事実確認能力が最強。,「今日のメキシコの最新経済ニュースを3つ挙げて」といったリアルタイム情報の検索。,gemini.google.comの標準チャットとして利用。,2025年12月,https://gemini.google.com,"API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
従量課金…使用料によって金額が変化します。"
,Gemini 3 Flash,API専売（入力$0.35/1Mﾄｰｸﾝ）,無料利用不可（API経由のみ）,超低遅延・超低コストに特化。ミリ秒単位のレスポンスが求められるタスク用。,Webアプリの裏側で、ユーザーの入力テキストをリアルタイムで翻訳・分類する処理。,Google AI StudioまたはVertex AIからAPIを取得。,2025年12月,https://aistudio.google.com,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,Gemini 2.5 Pro,Advanced月額$20 / API従量課金,無料利用不可,第2世代の完成形。動画データ（MP4等）をそのまま読み込み、内容を詳細に理解する。,1時間の講義動画をアップロードし、「回帰分析について説明している箇所の文字起こし」を指示。,Google AI Studioで動画ファイルをアップロードして使用。,2025年5月,https://aistudio.google.com,"API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
従量課金…使用料によって金額が変化します。"
,Google Imagen 4,API / Gemini内で利用（Advanced）,Gemini無料枠で1日数十枚生成可能,写真と見紛う超リアルな画像生成AI。テキスト描写に対する忠実度が極めて高い。,アプリ開発用のアイコン生成や、プレゼン資料に使うプロフェッショナルな挿絵の作成。,Geminiのチャット欄で「〜の画像を生成して」と指示。,2026年1月,https://deepmind.google/technologies/imagen/,API…ソフトウェアやアプリケーション同士をつなぐ「橋渡し役（接点）」のことです。これによりほかサイトにgoogleアカウントでログインすることができます。
,Google Veo 3,YouTube Shorts/Vertex AI経由,一般の無料開放はなし,高度な物理法則を理解したシネマティックな長尺動画生成モデル。,テキストプロンプトから、自然な光の反射やカメラワークを含む高画質な動画素材を生成。,Vertex AIの動画生成コンソールからプロンプトを入力。,2026年2月,https://cloud.google.com/vertex-ai （解説：https://deepmind.google/technologies/veo/）,
,Nano Banana Pro,非公開（研究・エッジデバイス用）,Pixel等スマホのオンデバイスで無料,Googleのスマホ（Pixel等）内で、ネット接続なしにローカルで動く超軽量特化AI。,スマホ内のメッセージアプリで、オフライン状態でも気の利いた返信文を自動提案。,対応するAndroid端末の設定からオンデバイスAIを有効化。,2025年11月,https://store.google.com/magazine/google_ai,
,AlphaFold 3,商業利用は提携または有償ライセンス,学術非営利目的は1日10ジョブ無料,全ての生命分子（DNA、RNA、配位子など）の構造と相互作用を高精度に予測。,新薬候補の化合物が、標的タンパク質にどう結合するかを3Dシミュレーションする。,AlphaFold ServerにGoogleアカウントでログインし配列を入力。,2024年5月,https://alphafoldserver.com （解説：https://alphafold.com）,
,GNoME,利用不可（データベース公開のみ）,材料データは無償公開,220万種以上の新素材（結晶構造）を発見した材料科学特化のAIプロジェクト。,リチウムイオン電池の効率を上げる次世代の無機材料の選定や研究にデータを活用。,Google DeepMindのGNoME公開データベースからCSVをDL。,2023年11月,https://deepmind.google/discover/blog/millions-of-new-materials/,
Microsoft,MAI-Thinking-1,Copilot Pro 月額$20,回数制限付きで無料利用可能,Microsoftの独自AI。Office製品内で「ユーザーの意図を深く推論して」作業を代行。,Excel上で「このデータから因果関係を見つけてグラフ化し、考察を書いて」と一発指示。,Microsoft 365のCopilotチャットウィンドウから実行。,2026年1月,https://copilot.microsoft.com （解説：https://blogs.microsoft.com）,
